ForecastId,ConfirmedCases,Fatalities
181,19.0,2.24
182,19.06,2.24
183,23.33,2.54
184,26.08,2.28
185,25.6,2.0
186,24.36,2.0
187,26.99,2.03
188,20.76,2.01
189,23.08,2.01
190,23.8,2.0
191,23.61,3.71
192,23.85,2.36
193,24.69,2.0
194,24.87,2.01
195,31.96,2.76
196,118.4,13.67
197,118.4,13.67
198,108.85,13.65
199,108.85,13.64
200,108.96,13.28
201,109.0,13.28
202,73.12,8.11
203,73.25,8.47
204,73.25,8.47
205,73.49,9.84
206,73.63,8.49
207,74.03,8.14
208,74.85,8.15
209,75.09,8.2
210,75.11,8.58
211,75.18,8.58
212,75.28,9.9
213,75.24,8.58
214,75.58,8.23
215,75.61,7.96
216,9.07,1.23
217,25.27,0.33
218,26.66,0.14
219,19.74,0.56
220,41.52,2.82
221,34.54,1.27
222,19.03,1.85
223,19.05,1.98
224,19.14,2.0
225,20.38,2.0
226,20.78,2.88
227,22.64,2.0
228,22.58,2.0
229,22.6,2.08
230,22.88,2.65
231,22.84,2.89
232,22.99,2.93
233,23.15,2.94
234,23.12,4.65
235,23.3,3.32
236,23.93,2.98
237,24.08,2.98
238,31.18,2.95
239,104.46,9.87
240,104.44,9.87
241,94.93,9.46
242,94.93,9.46
243,94.97,9.11
244,95.0,9.11
245,60.7,7.41
246,60.84,7.77
247,60.86,7.75
248,61.13,9.15
249,61.09,7.8
250,61.19,7.47
251,62.06,7.5
252,62.25,7.59
253,62.35,8.01
254,62.49,8.01
255,62.9,9.32
256,62.89,7.97
257,63.17,7.63
258,63.23,7.63
259,1082.47,33.69
260,1229.56,37.1
261,1365.06,39.58
262,1392.15,39.68
263,1530.0,48.53
264,1643.47,57.21
265,1694.66,62.72
266,1792.29,70.54
267,1850.11,76.92
268,2023.52,84.41
269,2111.44,90.07
270,2219.08,95.53
271,2273.52,101.54
272,2399.61,108.92
273,2500.74,111.3
274,2590.13,115.83
275,2802.42,126.47
276,2848.28,128.51
277,2975.86,138.79
278,3040.58,146.06
279,3156.41,151.59
280,3368.46,160.96
281,3421.94,169.83
282,3247.38,152.2
283,3232.02,152.25
284,3229.36,151.58
285,3229.36,151.85
286,3241.08,152.91
287,3269.46,154.89
288,2670.29,123.1
289,2654.28,120.8
290,2646.6,120.95
291,2656.82,119.2
292,2658.41,119.83
293,2693.08,121.26
294,2719.54,123.28
295,2701.19,123.43
296,2709.5,121.67
297,2712.52,123.76
298,2762.38,122.45
299,2775.15,124.07
300,2808.05,127.46
301,2862.28,131.7
302,714.78,9.02
303,766.21,9.95
304,836.71,10.42
305,839.75,8.07
306,856.22,9.87
307,866.96,12.08
308,889.04,10.91
309,927.87,10.66
310,938.88,11.8
311,968.15,12.7
312,1026.2,13.75
313,1064.56,16.1
314,1086.12,15.67
315,1125.04,17.56
316,1148.32,18.14
317,1192.92,19.13
318,1234.85,19.54
319,1300.64,20.37
320,1358.76,21.97
321,1420.17,23.37
322,1460.29,23.77
323,1559.05,24.53
324,1564.35,29.14
325,1635.5,27.14
326,1631.64,27.14
327,1612.29,28.19
328,1612.91,28.35
329,1617.23,28.38
330,1628.28,28.42
331,1316.56,22.01
332,1327.66,20.49
333,1325.07,20.47
334,1313.24,21.94
335,1317.92,21.96
336,1322.5,22.03
337,1331.79,22.33
338,1325.14,22.51
339,1340.07,21.06
340,1339.6,21.1
341,1338.35,22.61
342,1345.37,23.47
343,1352.49,23.75
344,1371.65,23.45
345,86.93,1.24
346,90.43,1.33
347,92.36,2.25
348,94.86,2.9
349,95.56,2.95
350,97.19,2.81
351,99.14,2.67
352,100.09,2.47
353,102.19,2.01
354,102.92,2.01
355,102.95,2.01
356,112.58,2.15
357,112.59,2.37
358,113.03,2.94
359,113.55,2.98
360,103.02,2.98
361,103.05,3.0
362,103.1,3.0
363,103.61,2.99
364,103.96,2.99
365,103.99,3.0
366,104.19,3.0
367,105.0,3.18
368,134.4,3.25
369,134.4,3.25
370,105.17,3.42
371,105.17,3.42
372,105.18,3.43
373,105.21,3.43
374,100.05,2.73
375,128.94,2.55
376,129.02,2.55
377,100.25,2.73
378,100.59,2.74
379,100.77,2.75
380,100.99,2.75
381,101.91,2.75
382,131.19,2.57
383,132.72,2.57
384,103.96,2.74
385,104.0,2.74
386,104.16,2.78
387,104.18,2.92
388,2097.33,10.47
389,2239.37,11.02
390,2368.19,13.18
391,2432.78,14.52
392,2520.84,17.73
393,2599.1,20.19
394,2684.12,21.04
395,2739.98,21.15
396,2784.16,22.01
397,2811.3,22.77
398,2823.98,23.11
399,2848.87,24.35
400,2871.48,24.9
401,2864.59,24.98
402,2878.04,24.93
403,2917.1,25.65
404,2931.88,25.77
405,2921.65,25.75
406,2946.18,25.84
407,2967.98,26.21
408,2970.22,26.54
409,2974.49,29.76
410,2908.63,31.28
411,2872.85,31.39
412,2872.85,31.39
413,2866.59,30.4
414,2866.87,30.68
415,2867.69,30.68
416,2868.69,30.68
417,2743.43,25.69
418,2741.86,26.01
419,2741.91,25.88
420,2747.89,25.08
421,2761.48,25.36
422,2798.3,25.53
423,2808.2,25.78
424,2816.32,26.23
425,2825.12,26.62
426,2852.96,26.55
427,2871.45,25.81
428,2877.41,26.37
429,2880.09,26.92
430,2881.74,27.15
431,51.38,0.38
432,39.27,0.36
433,57.63,1.06
434,60.67,0.09
435,79.08,0.64
436,27.78,1.2
437,27.98,0.85
438,28.0,0.25
439,28.0,0.0
440,28.0,0.0
441,27.99,0.0
442,28.0,0.0
443,28.0,0.25
444,28.0,0.25
445,28.0,0.25
446,28.0,0.0
447,28.0,0.0
448,28.0,0.0
449,28.0,0.0
450,28.0,0.0
451,28.0,0.0
452,37.98,0.0
453,43.68,0.33
454,127.74,0.66
455,127.74,0.66
456,127.74,0.66
457,127.74,0.66
458,127.74,0.66
459,127.74,0.66
460,125.86,0.33
461,125.89,0.33
462,125.98,0.33
463,125.98,0.33
464,126.68,0.33
465,126.87,0.33
466,126.91,0.33
467,126.96,0.33
468,126.96,0.33
469,126.96,0.33
470,126.96,0.33
471,126.96,0.33
472,126.96,0.33
473,126.96,0.58
474,898.09,3.14
475,906.84,3.47
476,913.17,3.56
477,875.35,3.33
478,897.34,3.45
479,906.79,3.01
480,942.48,3.5
481,957.59,3.96
482,960.53,4.09
483,972.36,4.65
484,972.75,4.93
485,988.44,4.98
486,994.37,5.01
487,998.51,5.0
488,1000.74,5.02
489,1004.88,5.11
490,1012.13,5.63
491,1013.22,5.77
492,1020.36,5.95
493,1022.53,5.97
494,1023.69,5.97
495,1025.07,5.97
496,999.29,5.9
497,1003.59,6.02
498,1003.59,6.02
499,1002.29,5.94
500,1002.58,5.96
501,1002.77,5.96
502,1003.22,5.96
503,956.52,4.98
504,957.92,5.03
505,959.7,5.03
506,958.43,4.9
507,962.19,4.91
508,965.37,4.96
509,966.1,4.97
510,977.42,5.0
511,979.91,5.22
512,980.25,5.29
513,985.83,5.27
514,991.24,5.54
515,993.83,5.54
516,999.3,5.54
517,366.33,0.28
518,386.79,0.22
519,411.95,0.2
520,401.28,0.46
521,427.13,1.55
522,412.28,1.4
523,415.43,2.22
524,419.28,2.9
525,426.17,3.14
526,428.45,3.26
527,425.86,3.83
528,430.15,4.01
529,432.13,4.01
530,432.96,4.0
531,433.1,4.0
532,434.29,4.02
533,434.81,4.02
534,434.97,4.0
535,435.38,4.0
536,436.54,4.0
537,437.56,4.0
538,435.49,4.04
539,433.12,4.25
540,441.34,4.59
541,441.32,4.59
542,438.8,4.57
543,438.91,4.57
544,439.06,4.57
545,439.08,4.57
546,419.02,3.63
547,418.81,3.63
548,419.93,3.63
549,420.73,3.61
550,421.7,3.6
551,422.28,3.63
552,422.8,3.65
553,423.26,3.7
554,425.5,3.97
555,430.18,4.02
556,431.18,3.97
557,431.29,4.28
558,431.68,4.34
559,433.01,4.34
560,96.94,1.99
561,81.26,2.01
562,103.42,1.93
563,92.4,1.97
564,131.14,2.56
565,95.41,2.11
566,100.67,2.98
567,108.71,3.34
568,121.06,3.76
569,129.92,4.2
570,132.89,4.96
571,147.22,5.16
572,160.78,5.72
573,167.29,5.86
574,167.96,6.05
575,175.37,6.71
576,179.57,6.95
577,186.43,7.02
578,200.78,7.02
579,202.79,7.07
580,205.73,7.21
581,205.53,7.92
582,206.16,8.62
583,217.98,9.69
584,217.98,9.69
585,213.84,9.18
586,213.88,9.21
587,214.84,9.23
588,215.47,9.25
589,175.69,6.56
590,176.02,6.95
591,176.02,6.96
592,174.24,6.47
593,174.97,6.46
594,176.59,6.52
595,176.91,6.54
596,178.47,6.65
597,180.01,7.13
598,182.45,7.34
599,183.28,6.94
600,184.33,7.4
601,186.14,7.43
602,197.13,7.53
603,986.34,4.71
604,1061.02,6.33
605,1096.68,7.27
606,1119.66,7.83
607,1136.41,9.36
608,1162.59,9.78
609,1206.99,11.67
610,1221.43,11.99
611,1235.11,12.8
612,1253.06,13.69
613,1248.83,13.61
614,1261.12,13.33
615,1284.5,13.57
616,1293.67,13.59
617,1290.05,13.7
618,1303.07,13.9
619,1316.04,14.04
620,1324.35,14.04
621,1328.59,13.86
622,1333.0,13.95
623,1326.01,14.04
624,1310.09,14.07
625,1303.69,14.83
626,1315.72,15.23
627,1315.45,15.23
628,1313.91,14.9
629,1314.05,14.92
630,1314.05,14.92
631,1313.31,14.92
632,1228.16,13.0
633,1231.19,13.23
634,1231.3,13.23
635,1229.19,12.83
636,1230.39,12.91
637,1233.41,12.95
638,1238.43,12.99
639,1253.81,13.74
640,1260.77,14.15
641,1263.27,14.28
642,1263.38,14.16
643,1267.23,14.18
644,1267.77,14.2
645,1283.39,14.22
646,432.61,2.08
647,401.02,2.39
648,432.97,2.58
649,443.95,3.34
650,470.98,4.63
651,462.1,4.31
652,477.86,5.49
653,486.76,5.79
654,506.58,6.0
655,512.07,6.0
656,513.43,6.0
657,518.56,5.95
658,523.89,5.97
659,526.91,6.01
660,527.66,6.3
661,537.31,6.72
662,548.58,7.08
663,551.4,7.08
664,553.1,7.16
665,553.53,7.1
666,545.84,7.1
667,546.19,7.1
668,544.17,7.76
669,563.29,8.24
670,563.25,8.23
671,562.67,8.05
672,562.67,7.99
673,562.89,7.99
674,562.89,7.99
675,498.02,6.26
676,498.66,6.39
677,498.83,6.38
678,499.6,6.19
679,501.64,6.24
680,504.93,6.38
681,506.24,6.39
682,513.21,6.84
683,518.7,7.05
684,530.94,7.17
685,532.91,6.97
686,533.18,7.0
687,533.7,7.02
688,535.31,7.02
689,10554.16,153.37
690,11229.07,163.31
691,11608.72,171.35
692,11838.5,195.18
693,12074.89,208.6
694,12367.51,243.59
695,12632.68,268.11
696,12674.39,273.68
697,13338.41,318.05
698,13538.06,336.39
699,13761.29,343.86
700,14000.94,354.17
701,14121.71,364.89
702,14302.09,389.31
703,14402.92,401.11
704,14565.67,422.42
705,14642.87,438.46
706,14709.72,446.98
707,14758.31,459.91
708,14766.43,465.29
709,14831.47,473.85
710,14885.03,506.43
711,14901.47,510.82
712,15079.93,494.25
713,15076.72,494.55
714,14912.51,489.51
715,14912.51,490.35
716,14912.51,490.35
717,14926.34,491.43
718,13786.99,395.95
719,13942.25,402.27
720,13950.81,402.66
721,13792.64,393.04
722,13798.04,390.55
723,13860.34,392.95
724,13863.47,395.72
725,13902.84,398.86
726,14042.2,405.18
727,14383.21,413.81
728,14327.48,409.02
729,14353.6,409.01
730,14380.23,412.96
731,14470.81,419.17
732,397.35,4.76
733,445.94,8.05
734,502.09,4.98
735,575.18,6.48
736,606.33,6.95
737,715.13,10.15
738,782.86,10.77
739,902.72,8.93
740,970.24,9.8
741,1046.2,10.88
742,1091.83,11.01
743,1124.72,15.3
744,1131.98,12.28
745,1206.7,13.46
746,1287.22,14.56
747,1335.79,15.38
748,1354.56,17.09
749,1373.15,17.66
750,1397.23,22.61
751,1459.04,19.63
752,1497.6,19.9
753,1541.74,19.88
754,1666.02,30.62
755,2109.94,31.09
756,2109.94,31.09
757,1950.35,36.14
758,1951.23,36.17
759,1961.28,36.21
760,1968.95,36.25
761,1664.02,21.43
762,1802.42,21.51
763,1804.29,21.52
764,1654.16,24.64
765,1655.09,21.26
766,1662.81,21.3
767,1680.72,21.35
768,1688.39,21.53
769,1838.56,21.65
770,1852.89,21.85
771,1734.84,25.09
772,1747.97,21.79
773,1755.57,21.91
774,1767.75,22.12
775,55.08,1.59
776,42.73,1.88
777,67.69,3.56
778,61.75,4.52
779,42.3,5.2
780,55.07,6.06
781,38.4,6.89
782,58.7,7.63
783,61.16,7.97
784,74.77,8.27
785,67.64,8.22
786,60.93,8.21
787,62.04,8.09
788,62.5,8.05
789,110.53,8.11
790,110.38,8.4
791,87.57,8.85
792,89.03,8.92
793,89.36,9.07
794,121.7,9.18
795,123.29,9.43
796,161.04,10.72
797,187.79,10.83
798,593.34,11.45
799,593.34,11.45
800,579.64,11.45
801,579.79,11.47
802,579.67,11.48
803,581.21,11.5
804,429.36,9.43
805,454.7,9.37
806,454.7,9.37
807,442.05,9.31
808,442.2,9.35
809,442.1,9.39
810,443.44,9.49
811,430.82,9.62
812,456.7,9.69
813,456.73,9.92
814,444.78,9.85
815,445.52,9.91
816,445.74,9.95
817,446.92,9.94
818,619.06,3.84
819,648.53,3.77
820,646.65,4.1
821,657.21,4.52
822,701.96,4.56
823,746.87,5.15
824,776.04,5.36
825,859.62,5.3
826,894.45,5.85
827,974.56,6.52
828,1079.62,6.12
829,1216.83,6.42
830,1199.95,6.21
831,1312.34,6.75
832,1624.67,6.98
833,1738.9,6.98
834,1824.87,7.01
835,1921.23,7.03
836,1994.07,7.05
837,2118.02,7.21
838,2222.32,7.18
839,2356.86,7.94
840,2509.58,8.22
841,2618.46,9.14
842,2619.54,9.12
843,2538.51,9.21
844,2543.56,9.2
845,2542.43,9.19
846,2538.01,9.22
847,1791.98,7.01
848,1820.49,6.91
849,1832.81,6.89
850,1756.14,6.85
851,1746.65,6.93
852,1741.05,6.93
853,1772.76,6.99
854,1821.53,7.06
855,1866.21,7.01
856,1878.91,7.14
857,1819.76,7.22
858,1845.24,7.28
859,1848.47,7.29
860,1876.86,7.37
861,112.74,5.7
862,96.65,5.93
863,101.19,7.53
864,114.25,8.87
865,144.45,12.26
866,189.28,16.29
867,263.24,19.44
868,339.45,22.53
869,453.12,28.2
870,541.7,30.47
871,709.47,31.05
872,850.04,39.91
873,946.78,44.5
874,1182.62,49.14
875,1570.94,58.19
876,1819.71,71.05
877,2067.68,81.66
878,2308.49,90.92
879,2739.91,101.64
880,3165.31,107.96
881,3468.6,116.18
882,3929.54,123.78
883,4202.37,123.34
884,4464.02,112.43
885,4464.02,112.66
886,4272.89,113.03
887,4285.91,113.3
888,4308.07,114.79
889,4418.22,116.07
890,2805.95,73.13
891,2814.92,72.43
892,2828.12,72.5
893,2679.82,72.39
894,2678.19,72.13
895,2695.02,72.92
896,2779.48,73.65
897,2840.97,73.66
898,2852.58,73.1
899,2877.54,73.72
900,2776.92,74.25
901,2823.81,74.4
902,2860.45,76.97
903,2934.18,78.93
904,54.23,0.7
905,56.58,0.35
906,61.04,1.07
907,63.46,1.89
908,70.08,2.9
909,67.61,3.38
910,65.2,3.84
911,65.58,3.09
912,66.65,3.84
913,72.06,4.1
914,70.31,4.17
915,71.8,4.99
916,81.47,4.57
917,82.42,5.25
918,104.67,5.44
919,92.61,6.17
920,95.81,5.73
921,75.18,6.16
922,75.02,7.38
923,75.05,6.12
924,75.18,6.25
925,138.41,6.97
926,261.38,7.2
927,863.33,7.2
928,863.33,7.62
929,837.83,8.1
930,837.83,7.15
931,837.88,7.17
932,837.92,7.18
933,669.97,4.69
934,695.22,4.76
935,695.74,5.18
936,669.88,5.94
937,669.94,4.65
938,670.27,4.7
939,671.08,4.79
940,670.85,4.8
941,696.47,4.82
942,697.22,5.38
943,671.94,6.29
944,672.8,4.99
945,673.13,5.04
946,673.21,5.09
947,304.98,3.42
948,369.98,3.74
949,453.8,4.91
950,553.23,7.39
951,752.28,11.45
952,964.15,13.41
953,1215.9,15.0
954,1484.08,16.61
955,1973.76,20.67
956,2199.28,22.38
957,2348.53,23.14
958,2982.21,29.22
959,3228.66,32.13
960,3767.59,36.59
961,4154.0,39.65
962,4625.31,41.75
963,4746.27,44.48
964,5101.79,47.29
965,6139.31,50.98
966,6614.22,54.16
967,7180.5,56.61
968,7830.15,60.33
969,8505.31,61.41
970,9569.96,129.41
971,9569.96,129.83
972,8907.36,127.34
973,8921.13,127.62
974,8973.15,128.1
975,9127.11,128.97
976,6014.08,111.7
977,6116.59,111.76
978,6116.59,112.18
979,5791.39,110.87
980,5830.71,110.65
981,5932.11,110.85
982,5939.68,111.48
983,6038.02,112.03
984,6199.28,112.16
985,6251.41,113.23
986,5991.67,112.12
987,6047.15,112.06
988,6167.01,112.88
989,6365.56,114.42
990,15216.34,952.69
991,16698.23,1103.85
992,17607.96,1193.26
993,18193.58,1423.79
994,20343.01,1696.85
995,21836.31,2048.13
996,23153.97,2256.51
997,24407.54,2546.88
998,25555.92,3018.72
999,27055.17,3299.24
1000,28011.35,3381.78
1001,30310.72,3960.03
1002,31176.55,4147.32
1003,32606.73,4348.88
1004,33733.92,4561.29
1005,35747.74,5281.14
1006,36791.72,5429.61
1007,37905.61,5584.75
1008,39541.08,5767.71
1009,39658.6,5766.43
1010,40711.89,5856.36
1011,43397.6,6390.48
1012,43440.7,6494.16
1013,44125.51,6455.62
1014,44057.22,6426.18
1015,44145.68,6339.29
1016,44145.68,6338.01
1017,44107.23,6340.84
1018,44063.59,6342.7
1019,33885.31,5078.69
1020,33970.65,5128.78
1021,33962.52,5106.48
1022,34136.82,4956.1
1023,34380.69,4958.56
1024,34455.47,4988.76
1025,34388.2,5017.23
1026,34445.39,5106.63
1027,34686.09,5171.44
1028,35027.94,5225.09
1029,35533.41,5145.68
1030,36581.64,5170.9
1031,37233.18,5349.26
1032,37560.03,5351.24
1033,937.32,18.95
1034,325.98,45.72
1035,188.78,25.66
1036,189.19,12.92
1037,430.34,17.31
1038,229.15,0.99
1039,7.99,1.03
1040,8.69,1.09
1041,9.6,1.3
1042,12.77,1.88
1043,13.7,1.97
1044,15.7,2.35
1045,17.59,1.99
1046,18.0,2.0
1047,18.0,2.0
1048,18.0,2.0
1049,18.0,2.0
1050,17.92,2.0
1051,18.0,2.0
1052,18.0,2.0
1053,18.36,2.0
1054,18.36,2.0
1055,18.36,68.77
1056,1377.57,71.15
1057,1377.49,71.15
1058,1377.93,68.77
1059,1377.93,68.77
1060,1377.93,68.77
1061,1377.93,68.77
1062,467.72,1.49
1063,467.4,1.49
1064,467.36,1.48
1065,467.95,1.49
1066,467.95,1.49
1067,468.15,1.56
1068,468.2,1.56
1069,467.98,1.56
1070,467.79,1.56
1071,468.45,1.6
1072,470.41,1.92
1073,470.62,1.99
1074,470.67,1.99
1075,471.3,1.99
1076,336.01,0.56
1077,15.6,0.0
1078,14.88,0.0
1079,15.68,0.12
1080,30.33,0.99
1081,247.38,0.99
1082,25.89,0.99
1083,26.65,0.99
1084,32.2,0.99
1085,34.36,1.01
1086,34.45,1.01
1087,34.64,1.38
1088,34.73,1.0
1089,34.82,1.0
1090,34.82,1.0
1091,34.91,1.0
1092,35.02,1.0
1093,35.78,1.0
1094,50.03,1.01
1095,52.69,1.0
1096,53.24,1.0
1097,53.26,1.0
1098,52.9,1.0
1099,505.44,1.05
1100,505.44,1.05
1101,505.44,1.06
1102,505.44,1.05
1103,505.44,1.05
1104,505.44,1.05
1105,44.58,0.99
1106,44.58,0.99
1107,44.58,0.98
1108,44.88,1.01
1109,44.88,1.0
1110,45.27,1.05
1111,45.14,1.05
1112,45.07,1.04
1113,45.25,1.04
1114,46.26,1.03
1115,47.09,1.06
1116,47.09,1.05
1117,47.37,1.05
1118,47.37,1.05
1119,25.46,0.66
1120,5.48,0.1
1121,5.44,0.1
1122,5.1,0.0
1123,12.54,0.23
1124,13.02,0.1
1125,5.01,0.02
1126,5.01,0.0
1127,5.0,0.0
1128,5.0,0.0
1129,5.0,0.0
1130,5.01,0.39
1131,5.01,0.0
1132,5.01,0.0
1133,5.01,0.0
1134,5.0,0.0
1135,5.03,0.0
1136,5.04,0.0
1137,6.09,0.02
1138,7.05,0.0
1139,7.77,0.0
1140,8.31,0.0
1141,8.4,0.0
1142,28.52,1.88
1143,28.52,1.88
1144,28.26,1.89
1145,28.26,1.87
1146,28.26,1.87
1147,28.41,1.87
1148,9.65,1.85
1149,9.76,1.86
1150,9.76,1.86
1151,9.52,1.87
1152,9.52,1.85
1153,9.52,1.85
1154,9.66,1.85
1155,9.65,1.85
1156,9.76,1.86
1157,9.76,1.86
1158,9.54,1.87
1159,9.54,1.85
1160,9.54,1.85
1161,9.68,1.85
1162,142.03,8.51
1163,133.93,8.94
1164,139.54,9.9
1165,151.47,10.42
1166,192.59,12.26
1167,202.48,14.41
1168,222.38,16.07
1169,244.75,18.22
1170,257.79,19.7
1171,281.68,21.27
1172,304.42,23.67
1173,334.9,26.41
1174,362.94,28.15
1175,397.0,28.4
1176,444.06,29.49
1177,462.21,30.94
1178,490.84,31.78
1179,515.42,31.98
1180,567.66,33.74
1181,591.31,34.94
1182,618.86,37.01
1183,687.26,41.26
1184,772.09,43.82
1185,808.7,44.72
1186,808.7,44.44
1187,775.78,43.65
1188,777.02,44.1
1189,777.58,43.99
1190,776.47,44.33
1191,557.79,32.65
1192,570.0,32.63
1193,572.14,32.63
1194,551.31,31.77
1195,553.67,32.19
1196,555.83,32.26
1197,551.9,33.15
1198,565.74,33.77
1199,582.19,33.88
1200,588.28,35.18
1201,568.55,34.95
1202,570.38,36.04
1203,571.05,37.08
1204,569.33,38.12
1205,517.93,15.07
1206,568.97,16.24
1207,598.06,18.76
1208,618.24,25.47
1209,680.05,27.84
1210,737.67,31.62
1211,786.5,32.76
1212,857.05,34.23
1213,881.09,35.17
1214,908.79,35.78
1215,997.52,37.36
1216,1026.98,38.8
1217,1063.26,39.67
1218,1103.3,40.3
1219,1175.7,42.86
1220,1200.51,44.98
1221,1239.67,46.19
1222,1257.6,45.94
1223,1311.85,48.03
1224,1329.0,49.76
1225,1331.83,49.76
1226,1370.18,52.31
1227,1370.73,52.66
1228,1321.05,51.5
1229,1321.05,51.2
1230,1314.74,51.13
1231,1315.4,51.76
1232,1316.7,51.62
1233,1324.33,51.98
1234,1057.9,42.87
1235,1056.37,42.57
1236,1056.83,42.49
1237,1041.39,42.05
1238,1046.09,42.66
1239,1056.17,42.9
1240,1076.77,43.66
1241,1080.76,43.91
1242,1090.91,43.64
1243,1096.51,44.51
1244,1103.58,44.53
1245,1176.03,46.17
1246,1182.72,46.7
1247,1214.9,47.31
1248,31.62,1.61
1249,9.81,5.26
1250,11.76,2.05
1251,11.42,6.21
1252,45.98,4.36
1253,13.94,2.56
1254,14.66,1.33
1255,10.9,1.0
1256,12.51,1.0
1257,12.93,1.0
1258,13.0,1.0
1259,12.95,1.0
1260,12.99,1.0
1261,13.23,1.0
1262,14.76,1.0
1263,15.07,1.0
1264,16.07,1.0
1265,19.03,1.0
1266,20.04,1.0
1267,20.31,1.0
1268,21.41,1.0
1269,35.85,1.0
1270,49.9,1.43
1271,659.78,41.56
1272,659.74,41.56
1273,659.68,41.99
1274,659.68,41.99
1275,659.78,41.99
1276,659.78,41.99
1277,629.03,41.99
1278,629.03,41.56
1279,629.05,41.56
1280,629.09,41.99
1281,629.23,41.99
1282,629.29,41.99
1283,629.32,41.99
1284,629.48,41.99
1285,631.95,41.56
1286,633.03,41.56
1287,633.22,41.99
1288,633.22,41.99
1289,633.3,41.99
1290,633.32,41.99
1291,7760.53,298.04
1292,8937.77,349.82
1293,9892.58,415.91
1294,10821.46,491.11
1295,12176.03,559.77
1296,13978.31,667.02
1297,15364.99,826.24
1298,17412.67,949.85
1299,18182.62,1011.19
1300,20903.95,1157.43
1301,21463.67,1209.26
1302,24566.33,1316.99
1303,26335.08,1556.65
1304,28365.75,1695.45
1305,30622.06,1871.36
1306,32451.19,2070.13
1307,34553.3,2232.85
